dataset_id,split_id,model_name,segment,n,mae,rmse,source_file
B4,roll_02,rf,day,63,608.4288312822007,803.8483804154497,preds_B4_roll_02.csv
B4,roll_03,mlr,all,124,524.2667402850667,662.1962616512174,preds_B4_roll_03.csv
B4,roll_03,mlr,night,61,541.5778218055011,662.978675982464,preds_B4_roll_03.csv
B4,roll_03,mlr,day,63,507.50521690813815,661.4378039592566,preds_B4_roll_03.csv
B4,roll_03,persistence,all,124,518.2096232441302,689.6275557071873,preds_B4_roll_03.csv
B4,roll_03,persistence,night,61,497.80100867881475,705.1484230421763,preds_B4_roll_03.csv
B4,roll_03,persistence,day,63,537.9703452835627,674.2590562815245,preds_B4_roll_03.csv
B4,roll_03,rf,all,124,492.04355873268713,643.5344101071485,preds_B4_roll_03.csv
B4,roll_03,rf,night,61,429.4767117155479,565.0635369937357,preds_B4_roll_03.csv
B4,roll_03,rf,day,63,552.6241566381714,711.3125106936969,preds_B4_roll_03.csv
B4,roll_04,mlr,all,97,411.66504661492877,566.1869091453849,preds_B4_roll_04.csv
B4,roll_04,mlr,night,30,371.94401576661744,472.2096239905392,preds_B4_roll_04.csv
B4,roll_04,mlr,day,67,429.4505828156651,603.5417962850382,preds_B4_roll_04.csv
B4,roll_04,persistence,all,97,405.3907669372235,574.9845325894179,preds_B4_roll_04.csv
B4,roll_04,persistence,night,30,319.44710875224706,418.4725403366145,preds_B4_roll_04.csv
B4,roll_04,persistence,day,67,443.8730019454219,632.6362943599826,preds_B4_roll_04.csv
B4,roll_04,rf,all,97,390.1606140930599,567.649739261809,preds_B4_roll_04.csv
B4,roll_04,rf,night,30,236.81688661713372,294.1521662648484,preds_B4_roll_04.csv
B4,roll_04,rf,day,67,458.8219846046686,654.0365942269921,preds_B4_roll_04.csv
