datasetid,splitid,modelname,source,nrows_overall,mae_overall,rmse_overall,mape_overall,mae_dn_day,mae_dn_night,mape_dn_day,mape_dn_night,nrows_dn_day,nrows_dn_night,rmse_dn_day,rmse_dn_night
A2,roll_04,rf,intersection,97,379.091286453084,563.9969465905427,51.48981234607006,442.9587001472733,236.45406253606157,65.51748958178693,20.16133318630235,67,30,649.4350506483562,294.20308254349135
A3,roll_01,mlr,intersection,127,510.9887391447948,654.3036289473758,53.189525385923645,531.5289580408385,490.76946116900194,57.83933357978599,48.6123704450904,63,64,702.3538604589904,603.2777886836318
A3,roll_01,persistence,intersection,127,539.4853657660749,725.1785567721017,49.78550559091813,588.2982472814404,491.4351855243867,58.39777196399901,41.30780587991661,63,64,791.3379254815911,653.5440689451399
A3,roll_01,rf,intersection,127,472.3446747751005,605.2105053346601,46.07167937195041,466.924099522954,477.68055353893226,49.79285752352113,42.40864462899798,63,64,606.6926285086629,603.7479867564638
A3,roll_02,mlr,intersection,138,464.6654818943362,625.9360590784598,87.59326481697865,550.600194399269,392.4803233901928,139.17658295348764,44.26327758231108,63,75,749.2561208521149,499.3409366432289
A3,roll_02,persistence,intersection,138,508.1342943770623,739.8395940510944,77.90987083169425,625.079395070522,409.9004097945559,129.65683579995323,34.44242025835671,63,75,891.9204834453851,582.1585908325401
A3,roll_02,rf,intersection,138,456.9643422685767,621.0328789701803,82.42018650610176,601.2899257327081,335.73085215870634,141.42205596165817,32.85861616343438,63,75,789.9792074143886,430.6253304190636
A3,roll_03,mlr,intersection,124,503.7524629468232,645.4560311237335,89.48347475125506,516.863798349001,490.2112476953939,136.1765272507075,41.259502497722245,63,61,663.6737861938983,626.0847658243443
A3,roll_03,persistence,intersection,124,518.2096232441302,689.6275557071873,91.20248985135149,537.9703452835627,497.8010086788148,137.4864105768242,43.40106352832232,63,61,674.2590562815245,705.1484230421763
A3,roll_03,rf,intersection,124,495.73733646967,665.4566968951622,84.29572901704346,568.5975106756172,420.4883040930358,132.08552989776106,34.93904941892523,63,61,727.3504548923405,594.8109936511294
A3,roll_04,mlr,intersection,97,407.3795535412576,556.3061762677348,57.320107477380255,431.867224743786,352.69042118894424,70.8320248250676,27.14349206754518,67,30,607.5808391255741,419.7569373356428
A3,roll_04,persistence,intersection,97,405.3907669372235,574.9845325894179,51.88674127212665,443.8730019454219,319.44710875224706,63.57092285705844,25.79206906577895,67,30,632.6362943599826,418.4725403366145
A3,roll_04,rf,intersection,97,376.8435626191074,556.1206433631493,55.90746306447358,445.2734814103149,224.01674398541064,72.37556536150434,19.128701267771525,67,30,641.0774210070776,286.5617493641711
