datasetid,splitid,modelname,slicename,slicevalue,nrows,mae,rmse,mape,intersection,intersectionnrows
A1,roll_02,rf,is_daylight,1,63,587.577396693214,779.3952437946209,138.67782811025938,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,overall,ALL,138,443.9480272444274,615.5813339054721,79.59692662455716,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,pool_on,0,138,443.9480272444274,615.5813339054721,79.59692662455716,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,pool_switch,0,138,443.9480272444274,615.5813339054721,79.59692662455716,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,pv_regime,high,4,828.4255621110096,876.9833735656832,483.16414753631574,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,pv_regime,low,31,659.83183923959,890.9452734861795,60.98968172181169,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,pv_regime,med,18,522.6971872396805,681.559093196237,259.10143718169667,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,pv_regime,night,85,330.4445779358283,437.21948530321276,29.378979781140295,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,temp_bin,0,3,131.6471441709028,168.0764072077285,6.679790356151451,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,temp_bin,1,68,312.14554562572346,423.6345736750011,26.540358009285704,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,temp_bin,2,65,598.0848912028289,780.8773866206153,126.72952866184828,A1..B4_by_ts_target_utc,138
A1,roll_02,rf,temp_bin,3,2,384.235648242603,430.291203976025,461.0863977344342,A1..B4_by_ts_target_utc,138
A1,roll_03,mlr,flag_demand_imputed,0,124,532.9709071599834,671.7537671949054,91.38686155896383,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,flag_pool_imputed,0,124,532.9709071599834,671.7537671949054,91.38686155896383,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,flag_pv_imputed,0,124,532.9709071599834,671.7537671949054,91.38686155896383,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,flag_temp_imputed,0,124,532.9709071599834,671.7537671949054,91.38686155896383,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,gaplendemandbin,0,124,532.9709071599834,671.7537671949054,91.38686155896383,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,gaplenpoolbin,0,124,532.9709071599834,671.7537671949054,91.38686155896383,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,gaplenpvbin,0,124,532.9709071599834,671.7537671949054,91.38686155896383,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,gaplentempbin,0,124,532.9709071599834,671.7537671949054,91.38686155896383,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,imputed_any,0,124,532.9709071599834,671.7537671949054,91.38686155896383,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,imputed_count,0,124,532.9709071599834,671.7537671949054,91.38686155896383,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,is_daylight,0,61,502.4683586829967,641.9218839264229,47.240085520799354,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,is_daylight,1,63,562.5051207646846,699.4272184352142,134.13215264353576,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,overall,ALL,124,532.9709071599834,671.7537671949054,91.38686155896383,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,pool_on,0,124,532.9709071599834,671.7537671949054,91.38686155896383,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,pool_switch,0,124,532.9709071599834,671.7537671949054,91.38686155896383,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,pv_regime,high,7,881.6443881226899,1005.6517286172386,212.74035609956613,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,pv_regime,low,29,547.7992532344086,646.0857622263445,146.58181620015372,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,pv_regime,med,19,583.7125355940522,741.8006220326355,127.50621346894808,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,pv_regime,night,69,477.3936992883226,617.5637842128989,45.93184949130551,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,temp_bin,1,24,389.76847350366796,488.1457225419409,46.19171585407636,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,temp_bin,2,92,574.9123633420136,722.868963942165,100.89312778291661,A1..B4_by_ts_target_utc,124
A1,roll_03,mlr,temp_bin,3,8,480.25146203558313,519.9615176299895,117.65023709816941,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,flag_demand_imputed,0,124,518.2096232441302,689.6275557071873,91.20248985135149,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,flag_pool_imputed,0,124,518.2096232441302,689.6275557071873,91.20248985135149,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,flag_pv_imputed,0,124,518.2096232441302,689.6275557071873,91.20248985135149,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,flag_temp_imputed,0,124,518.2096232441302,689.6275557071873,91.20248985135149,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,gaplendemandbin,0,124,518.2096232441302,689.6275557071873,91.20248985135149,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,gaplenpoolbin,0,124,518.2096232441302,689.6275557071873,91.20248985135149,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,gaplenpvbin,0,124,518.2096232441302,689.6275557071873,91.20248985135149,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,gaplentempbin,0,124,518.2096232441302,689.6275557071873,91.20248985135149,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,imputed_any,0,124,518.2096232441302,689.6275557071873,91.20248985135149,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,imputed_count,0,124,518.2096232441302,689.6275557071873,91.20248985135149,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,is_daylight,0,61,497.80100867881475,705.1484230421763,43.40106352832232,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,is_daylight,1,63,537.9703452835627,674.2590562815245,137.4864105768242,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,overall,ALL,124,518.2096232441302,689.6275557071873,91.20248985135149,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,pool_on,0,124,518.2096232441302,689.6275557071873,91.20248985135149,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,pool_switch,0,124,518.2096232441302,689.6275557071873,91.20248985135149,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,pv_regime,high,7,930.2463895815833,1104.6681494983393,307.630188863596,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,pv_regime,low,29,486.93954023771073,595.72592485432,106.19747369468624,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,pv_regime,med,19,589.6545589852894,688.9608732205905,168.47062985214322,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,pv_regime,night,69,469.8780473563326,671.5780240977241,41.66708282877962,A1..B4_by_ts_target_utc,124
A1,roll_03,persistence,temp_bin,1,24,354.70746019293864,529.3095547406989,35.45298990054828,A1..B4_by_ts_target_utc,124
