ts_utc,demand_w_obs,demand_count_samples,demand_coverage_minutes,pv_w_obs,pv_count_samples,pv_coverage_minutes,pv_count_samples_clipped_noise,flag_pv_clipped_noise_hour,pv_count_samples_forced_night_zero,flag_pv_forced_night_zero_hour,pool_w_obs,pool_count_samples,pool_coverage_minutes,temp_sensor_c,temp_sensor_count_samples,temp_sensor_coverage_minutes,sun_altitude_hour_mid_deg,is_daylight_hour,temp_meteo_c,outdoor_temp_c_effective,outdoor_temp_c,flag_demand_missing_raw,flag_pv_missing_raw,flag_pool_missing_raw,flag_temp_sensor_missing_raw,flag_temp_meteo_missing_raw,flag_temp_sensor_missing,flag_temp_used_meteo,hour,day_of_week,month,is_weekend,is_holiday_it,hour_sin,hour_cos
2026-01-11 09:00:00+00:00,1464.1872420950556,1,0.0,1113.9215353886943,1,0.0,0,0,0,0,21.66706498425,1,0.0,5.479905556944444,1,0.0,17.399559640933298,1,,5.479905556944444,5.479905556944444,0,0,0,0,1,0,0,9,6,1,1,0,0.7071067811865476,-0.7071067811865475
2026-01-11 10:00:00+00:00,474.102661966639,1,0.0,1445.3827412131943,1,0.0,0,0,0,0,20.90244102377778,1,0.0,8.399686105833334,1,0.0,21.373120016850944,1,,8.399686105833334,8.399686105833334,0,0,0,0,1,0,0,10,6,1,1,0,0.49999999999999994,-0.8660254037844387
2026-01-11 11:00:00+00:00,924.8024321908888,1,0.0,1576.5715724575275,1,0.0,0,0,0,0,21.703601752222223,1,0.0,10.56430204613889,1,0.0,22.779897745101437,1,,10.56430204613889,10.56430204613889,0,0,0,0,1,0,0,11,6,1,1,0,0.258819045102521,-0.9659258262890682
2026-01-11 12:00:00+00:00,-377.0683961764167,1,0.0,1523.783426588417,1,0.0,0,0,0,0,21.560308488194448,1,0.0,11.13957339347222,1,0.0,21.450940820298403,1,,11.13957339347222,11.13957339347222,0,0,0,0,1,0,0,12,6,1,1,0,1.2246467991473532e-16,-1.0
2026-01-11 13:00:00+00:00,-533.3608326616389,1,0.0,1288.0403277888888,1,0.0,0,0,0,0,20.96788498608333,1,0.0,11.51705910513889,1,0.0,17.54629174984517,1,,11.51705910513889,11.51705910513889,0,0,0,0,1,0,0,13,6,1,1,0,-0.2588190451025208,-0.9659258262890683
2026-01-11 14:00:00+00:00,1619.3522628639723,1,0.0,780.1935005056666,1,0.0,0,0,0,0,20.60916648908333,1,0.0,12.787921283277775,1,0.0,11.482673907809282,1,,12.787921283277775,12.787921283277775,0,0,0,0,1,0,0,14,6,1,1,0,-0.4999999999999997,-0.8660254037844388
2026-01-11 15:00:00+00:00,867.3860450609445,1,0.0,55.60070419424999,1,0.0,0,0,0,0,19.72462692113889,1,0.0,11.008737726416667,1,0.0,3.8330559275700713,1,,11.008737726416667,11.008737726416667,0,0,0,0,1,0,0,15,6,1,1,0,-0.7071067811865471,-0.7071067811865479
2026-01-11 16:00:00+00:00,1129.351029028639,1,0.0,0.0,1,0.0,0,0,1,1,19.47766912930556,1,0.0,7.34603673525,1,0.0,-5.355792775252739,0,,7.34603673525,7.34603673525,0,0,0,0,1,0,0,16,6,1,1,0,-0.8660254037844385,-0.5000000000000004
2026-01-11 17:00:00+00:00,1683.5612400863336,1,0.0,0.0,1,0.0,0,0,1,1,19.04478443258333,1,0.0,5.409180986416668,1,0.0,-15.168931752388021,0,,5.409180986416668,5.409180986416668,0,0,0,0,1,0,0,17,6,1,1,0,-0.9659258262890683,-0.25881904510252063
2026-01-11 18:00:00+00:00,2735.553599037861,1,0.0,0.0,1,0.0,0,0,1,1,19.200060977555555,1,0.0,3.7358169538333335,1,0.0,-25.477891466300957,0,,3.7358169538333335,3.7358169538333335,0,0,0,0,1,0,0,18,6,1,1,0,-1.0,-1.8369701987210297e-16
